	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes
13	R321	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
14	R3021	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
15	R0	('qtm', 'qsm', 'pm', 'tm', 'qlm')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
16	R1	('qtm', 'qsm', 'pm', 'tm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
17	R2	('qtm', 'qsm', 'pm', 'tm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
18	R3	('qtm', 'qsm', 'pm', 'tm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
19	R01	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
20	R02	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
21	R03	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
22	R21	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
23	R31	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
24	R23	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
25	R021	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
26	R031	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
27	R023	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
28	R321	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
29	R3021	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
30	R0	('qtm', 'qsm', 'pm', 'tm', 'qlm')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
31	R1	('qtm', 'qsm', 'pm', 'tm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
32	R2	('qtm', 'qsm', 'pm', 'tm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
33	R3	('qtm', 'qsm', 'pm', 'tm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
34	R01	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
35	R02	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
36	R03	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
37	R21	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
38	R31	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
39	R23	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
40	R021	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
41	R031	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
42	R023	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
43	R321	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
