	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes	refstd	samplestd	samplecorr	exectime
1	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	05	0.12165407091379166	0.0742195116902925	0.7286587899024968	0:00:01.086620
2	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	025	0.13020795583724976	0.07996583071194725	0.6977240761876408	0:00:05.015679
3	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	0125	0.1380564570426941	0.08266889940629958	0.7006100520769443	0:00:23.444251
4	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	00625	0.14667490124702454	0.06904723792869326	0.5978021755890129	0:01:51.829919
0	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	1	0.10602670907974243	0.06981551894857509	0.7769414032603841	0:00:00.247293
1	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	05	0.12023992836475372	0.07211900901154014	0.742601817782038	0:00:01.062780
2	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	025	0.13108722865581512	0.07995012183960096	0.7095425076201732	0:00:04.934429
3	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	0125	0.1392522156238556	0.08373987910818143	0.6946712937598231	0:00:22.542799
4	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	00625	0.14679089188575745	0.06940398214325667	0.5938293952669986	0:01:55.343851
0	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	1	0.10599309951066972	0.06922375161153545	0.7427629011742513	0:00:00.242440
1	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	05	0.1187761202454567	0.07459452255210196	0.7183434929852409	0:00:01.059314
2	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	025	0.1299268901348114	0.07837944774826831	0.7107527859890878	0:00:04.842001
3	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	0125	0.13915932178497314	0.0844158773694331	0.6830239042745541	0:00:22.296868
4	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	00625	0.14676658809185028	0.06888564102540731	0.5917495748138709	0:01:52.098207
0	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	1	0.10599552094936372	0.07220939250930447	0.7369344791940988	0:00:00.240176
1	R	['qtm,qsm,pm,tm']	False	0.2	random_forest	10	05	0.11948713660240172	0.07103968335982029	0.7441550354645776	0:00:01.167936
